"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"compelling","adjective","매력적인; 설득력 있는","강하게 끌리거나 믿을 수밖에 없게 만드는 성질.","Latin compellere","논거·스토리 묘사에 자주 사용","격식","형용사","해당 없음","compelling to","to","해당 없음","com+pel+ing","compel","compiling과 혼동","convincing","weak","a compelling story","Her argument was compelling.","compel과 연결하여 기억.","문학, 논리","상","3","X","O, X: compelling=따분한 → X, Q1 동사형? compel"
"compel","verb","강요하다","억지로 어떤 행동을 하게 만듦.","Latin compellere(몰아붙이다)","감정 유발 의미도","격식","타동사","타동사","compel O to-v","to-v","O to-v","com+pel","compulsion","complain과 혼동","force","discourage","compel him to act","Circumstances compelled her to leave.","compel O to-v 패턴.","법, 일반","상","3","X","O, X: compel=자유롭게 허용하다 → X, Q1 명사형? compulsion"
"illustrate","verb","설명하다; 예시를 들다","그림·예시를 통해 명확히 설명함.","Latin illustrare(밝히다)","책 도해 의미","격식/일상","타동사","타동사","illustrate with, by","with, by","해당 없음","il+lust+rate","illustration","illuminate과 혼동","explain","confuse","illustrate a point, illustrated book","He illustrated the concept with charts.","illustration과 세트.","교육, 학문","상","2","X","O, X: illustrate=숨기다 → X, Q1 명사형? illustration"
"diminish","verb","줄어들다; 약화시키다","규모·가치·효과가 감소함.","Latin diminuere","명성 감소에도 사용","격식","자동, 타동사","둘 다","diminish in","in","해당 없음","di+minish","diminished","diminutive와 혼동","decrease","increase","His influence diminished.","They diminished the risk.","자동, 타동 둘 다 가능.","일반","상","3","X","O, X: diminish=증대하다 → X, Q1 반의어? increase"
"lessen","verb","줄이다; 완화하다","크기·강도·효과를 낮춤.","less(적은)","감정·통증 완화","일상","타동, 자동","둘 다","lessen + N","해당 없음","해당 없음","less+en","lessening","lesson과 혼동","reduce","increase","lessen pain, The effect lessened.","The noise lessened over time.","pain·stress·risk와 잘 결합.","일상","중","2","X","O, X: lessen=늘리다 → X, Q1 동의어? reduce"
"shrink","verb","줄어들다; 움츠러들다","크기·양이 줄거나 몸이 움츠러드는 상태.","Old English scrincan","옷 세탁 후 줄어듦","일상","자동, 타동","둘 다","shrink from","from","from","shrink","shrinkage","sink과 혼동","contract","expand","The shirt shrank.","He shrank from responsibility.","shrink-shrank-shrunk 불규칙.","일반","상","2","X","O, X: shrink=팽창하다 → X, Q1 명사형? shrinkage"
"instructive","adjective","유익한; 교육적인","배우거나 깨닫는 데 도움이 되는 성질.","instruct에서 파생","간접적 교훈","격식","형용사","해당 없음","instructive to","to","해당 없음","in+struct+ive","instruction","destructive와 혼동","educational","uninformative","an instructive example","It was very instructive.","instruction과 연결.","교육","상","2","X","O, X: instructive=해로운 → X, Q1 명사형? instruction"
"stationary","adjective","정지된; 고정된","움직이지 않는 상태.","Latin stationarius","stationery(문구류)와 혼동 주의","격식/일상","형용사","해당 없음","stationary at","at","해당 없음","station+ary","stationery","stationery와 혼동","static","mobile","a stationary vehicle","Remain stationary.","stationary≠stationery.","기본","상","2","X","O, X: stationary=문구류 → X, Q1 혼동 단어? stationery"
"mobility","noun","이동성; 유연성","움직이거나 변화할 수 있는 성질.","mobile에서 파생","계층 이동(사회적 mobility)","격식","명사","불가산","mobility of","of","해당 없음","mobil+ity","mobile","mobile과 연관","movement","immobility","social mobility, mobility of labor","Mobility is increasing.","mobile과 단어군 연결.","사회, 과학","상","3","X","O, X: mobility=고정성 → X, Q1 반의어? immobility"
"collect","verb","모으다; 수집하다","사물·정보·사람을 한곳으로 모음.","Latin colligere","세금 징수 의미도","일상","타동, 자동","둘 다","collect + N","해당 없음","해당 없음","col+lect","collection","correct와 혼동","gather","disperse","collect data, collect stamps","Crowds collected outside.","collection과 세트.","일반","상","2","X","O, X: collect=흩어지다 → X, Q1 명사형? collection"
