단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
sufficient,adjective,충분한,필요 조건을 만족할 만큼 충분함.,Latin sufficere,formal writing,격식,형용사,해당 없음,"sufficient for, to","for, to",해당 없음,suf+fic+ient,suffice,efficient과 혼동,enough,insufficient,sufficient evidence,The food is sufficient for all.,"-fic=make, do 연상.","학문, 일반",상,2,X,"O, X: sufficient=부족한 → X, Q1 반의어? insufficient"
adequate,adjective,적절한; 충분한,필요 기준을 충족할 만큼 적당함.,Latin adaequatus,adequate preparation,격식,형용사,해당 없음,adequate for,for,해당 없음,ad+equ+ate,adequacy,equal과 혼동,appropriate,inadequate,adequate resources,The room is adequate for 20 people.,sufficient과 비교.,일반,상,2,X,"O, X: adequate=전혀 부족한 → X, Q1 명사형? adequacy"
intense,adjective,강렬한; 극심한,강도·감정이 매우 큰 상태.,Latin intensus,intense heat,격식/일상,형용사,해당 없음,intense pressure,해당 없음,해당 없음,in+tens+e,intensity,intend와 혼동,strong,mild,intense pain,an intense desire,-tens=stretch 연상.,"감정, 과학",상,2,X,"O, X: intense=약한 → X, Q1 명사형? intensity"
intensity,noun,강도; 세기,힘·빛·감정 등의 정도.,Latin intensus,물리 intensity,격식,명사,불가산,intensity of,of,해당 없음,in+tens+ity,intense,density와 혼동,strength,weakness,the intensity of light,emotional intensity,-ity 명사형.,"과학, 감정",상,2,X,"O, X: intensity=약함 → X, Q1 형용사형? intense"
intensely,adverb,강렬하게,매우 강한 정도로.,intense 파생,감정적·물리적,격식/일상,부사,해당 없음,"intensely + adj, verb",해당 없음,해당 없음,in+tens+ely,intense,intensively와 혼동,strongly,lightly,intensely hot,She stared intensely.,intense와 같이 암기.,일반,상,1,X,"O, X: intensely=약하게 → X, Q1 형용사형? intense"
fiercely,adverb,사납게; 격렬하게,강하고 공격적으로.,Old French feroc,격한 감정 표현,일상,부사,해당 없음,"fiercely + adj, verb",해당 없음,해당 없음,fierce+ly,fierce,pierce와 혼동,violently,gently,fiercely competitive,She fought fiercely.,감정 강도 표현.,감정,중,2,X,"O, X: fiercely=온화하게 → X, Q1 형용사형? fierce"
lightly,adverb,가볍게; 약하게,힘·정도가 약한 상태.,light 파생,행동 톤,일상,부사,해당 없음,lightly + V,해당 없음,해당 없음,light+ly,light,tight과 혼동,gently,heavily,lightly cooked,She touched it lightly.,tone 표현.,일상,상,1,X,"O, X: lightly=무겁게 → X, Q1 반의어? heavily"
phenomenon,noun,현상; 경이로운 것,관찰 가능한 사건 또는 특이 현상.,Greek phainomenon,과학·사회,격식,명사,가산,phenomenon of,of,해당 없음,pheno+menon,phenomenal,protagonist와 혼동,occurrence,normality,a natural phenomenon,Social phenomena change.,복수형 phenomena 매우 중요.,학문,상,3,X,"O, X: phenomenon 복수=phenomenons → X, Q1 복수형? phenomena"
eruption,noun,폭발; 분출,화산·감정 등이 터져 나옴.,Latin erumpere,감정 eruption,격식/일상,명사,가산,eruption of,of,해당 없음,e+rupt+ion,erupt,corruption과 혼동,outbreak,calm,a volcanic eruption,an eruption of anger,erupt와 세트 기억.,"과학, 감정",상,2,X,"O, X: eruption=진정 → X, Q1 동사형? erupt"
erupt,verb,폭발하다; 분출하다,갑작스럽게 터져 나옴.,Latin erumpere,감정 erupt,격식/일상,자동사,자동,erupt from,from,해당 없음,e+rupt,eruption,interrupt와 혼동,explode,calm,The volcano erupted.,Cheers erupted from the crowd.,감정 폭발에도 사용.,"과학, 일반",상,1,X,"O, X: erupt=가라앉다 → X, Q1 명사형? eruption"
