단어|품사|주요 의미(핵심 뜻)|핵심 개념 요약(한 문장)|어원·역사적 변천|의미 확장(현재 쓰임 포함)|뉘앙스·레지스터|문법적 특징|자동사/타동사|가산/불가산|전치사 패턴|필수 보어 등|형태론적 분석(접두사·어근·접미사)|파생어·관련어|혼동 주의 단어|동의어·유사어|반의어|콜로케이션(뜻 포함)|예문(난이도별 2~3개)|학습 팁|교과/분야 태그|빈도 정도(고/중/저)|단어 난이도(1~10)|OX 체크용 문항(기본값 X)|미니 퀴즈(3문항 선택형)
conserve|verb|보존하다, 절약하다|자원이나 환경을 보호하고 유지하다.|라틴어 conservare(함께 지키다)에서 유래|환경, 에너지, 문화재 보호 문맥에서 사용|격식적|타동사|-|-|conserve + O|-|con- + serve(지키다)|conservation, conservable|preserve(유사)|preserve, protect|waste|conserve energy, conserve resources|1) We must conserve water during the drought. 2) The museum conserves ancient artifacts. 3) Conserving energy is important for sustainability.|preserve와 비교하여 환경·자원 관련으로 연상|환경/에너지/문화재|중|5|X|Q1: 'conserve' 의미? (A) 낭비하다 (B) 보존하다 (C) 제거하다 → B; Q2: 명사형은? (A) conservation (B) conserveion → A; Q3: collocation 예? → conserve energy
preservation|noun|보존, 보호|자원·문화재 등을 훼손 없이 유지함.|라틴어 praeservare(미리 지키다)에서 유래|환경, 역사, 예술품 등 유지·보호 문맥에서 사용|격식적|명사|-|불가산|-|-|pre- + servare(지키다) + -tion|preserve, preservative|conservation(유사)|protection, safeguarding|destruction|cultural preservation, preservation of species|1) Preservation of historical sites is crucial. 2) Food preservation techniques extend shelf life. 3) The preservation of biodiversity is essential.|conserve와 의미 연결하여 기억|환경/문화/과학|중|5|X|Q1: 'preservation' 품사? (A) 명사 (B) 동사 → A; Q2: 의미? (A) 파괴 (B) 보존 → B; Q3: collocation 예? → preservation of species
contentment|noun|만족, 행복|자신의 상황에 만족하며 평온함을 느낌.|라틴어 contentus(만족한)에서 유래|심리적 안정, 행복감 표현|문학적·일상적|명사|-|불가산|-|-|content + -ment|content, contented|satisfaction(유사)|satisfaction, happiness|discontent|a sense of contentment, personal contentment|1) She felt a deep sense of contentment. 2) Contentment is more valuable than wealth. 3) He found contentment in simple living.|content와 연상하여 만족·심리 상태와 연결|심리/문학|중|5|X|Q1: 'contentment' 의미? (A) 불만 (B) 만족 → B; Q2: 유사어? (A) dissatisfaction (B) happiness → B; Q3: 표현 예? → a sense of contentment
accuse|verb|고발하다, 비난하다|잘못이나 범죄를 지적하며 책임을 묻다.|라틴어 accusare(비난하다)에서 유래|법적·일상적 맥락에서 사용|격식적|타동사|-|-|accuse + O / accuse O of ...|-|ad- + caus(원인) + e|accusation, accuser|blame(유사)|blame, charge|absolve|accuse someone of theft, falsely accused|1) He was accused of stealing the money. 2) The politician was accused of corruption. 3) She accused him of lying.|charge, blame와 비교하여 법적 문맥 구분|법/사회/일상|중|5|X|Q1: 'accuse' 의미? (A) 칭찬 (B) 고발/비난 → B; Q2: accuse 다음 올 전치사는? (A) of (B) for → A; Q3: 명사형은? (A) accusation → A
sentence|noun / verb|문장; 형벌 선고|문법 단위로의 문장 또는 법적 형벌을 내림.|라틴어 sententia(의견, 판단)에서 유래|법률 문맥에서 형벌 의미, 문법 문맥에서 문장 의미|격식적|명사/동사|타동사(형벌 선고)|가산|-|sentence + O / sentence to ...|sent- + -ence|sentencer|conviction(혼동 가능)|judgment, punishment|acquittal|death sentence, sentence someone to prison|1) The judge sentenced him to five years. 2) She wrote a long sentence. 3) He received a harsh sentence for the crime.|문법과 법률 의미 구분|법/교육/문학|중|5|X|Q1: 'sentence' 의미? (A) 문장 (B) 형벌 (C) 둘 다 → C; Q2: 형벌 의미 시 타동사? (A) O → 맞음; Q3: collocation 예? → sentence someone to prison
scores of|expression|수많은, 다수의|많은 수나 양을 나타냄.|score(20)에서 유래, 다수 표현으로 확장|수량 강조 표현|비격식/일상적|구|-|-|scores of + N|-|-|-|dozens of(유사)|many, numerous|few|scores of people, scores of books|1) Scores of people attended the concert. 2) There are scores of reasons to be cautious. 3) Scores of books lined the shelves.|dozens of와 비교하여 수량 표현 기억|일상/문학|중|4|X|Q1: 'scores of' 의미? (A) 소수 (B) 다수 → B; Q2: 유사 표현? (A) dozens of → A; Q3: 사용 가능한 품사? → 명사 앞 수량 표현
demolish|verb|파괴하다, 허물다|건물이나 구조물을 완전히 부수다.|라틴어 demoliri(부수다)에서 유래|건축, 토목, 비유적 맥락에서도 사용|격식적/일상적|타동사|-|-|demolish + O|-|de- + moliri(부수다)|demolition, demolisher|destroy(유사)|destroy, raze|build|demolish a building, demolish misconceptions|1) The old house was demolished. 2) He demolished the argument with evidence. 3) They plan to demolish the bridge.|destroy와 비교, 비유적 용법 기억|건축/일상/비유적|중|5|X|Q1: 'demolish' 의미? (A) 건설 (B) 파괴 → B; Q2: 명사형? (A) demolition → A; Q3: collocation 예? → demolish a building
sustainable|adjective|지속 가능한|환경·자원·경제 등이 오래 유지될 수 있음.|sustain + -able에서 유래|환경, 경제, 개발 관련 문맥|격식적/전문적|형용사|-|-|sustainable + N|-|sustain(지탱하다) + -able|sustainability|durable(혼동 가능)|viable, maintainable|unsustainable|sustainable development, sustainable energy|1) Sustainable practices help preserve the planet. 2) The project is sustainable long-term. 3) Farmers adopt sustainable methods.|발음·철자 주의, sustain과 연결하여 기억|환경/경제/개발|고|6|X|Q1: 'sustainable' 의미? (A) 지속 가능한 → A; Q2: 반의어? (A) unsustainable → A; Q3: collocation 예? → sustainable development
sustain|verb|지탱하다, 유지하다|어떤 상태나 활동을 계속 유지하다.|라틴어 sustinere(지탱하다)에서 유래|환경, 경제, 심리적 상태 등 유지 의미|격식적|타동사|-|-|sustain + O|-|sus- (위로) + tinere(잡다, 유지)|sustainable, sustenance|maintain(유사)|maintain, uphold|abandon|sustain life, sustain growth|1) He could not sustain the effort. 2) The building sustains heavy loads. 3) Policies must sustain economic growth.|sustainable과 연결하여 기억|환경/경제/일상|고|5|X|Q1: 'sustain' 의미? (A) 버리다 (B) 유지하다 → B; Q2: 명사형? (A) sustenance (B) sustainability → 둘 다; Q3: collocation 예? → sustain life
resolve|verb / noun|결심하다, 해결하다|문제나 갈등을 명확히 해결하거나 결심하다.|라틴어 resolvere(풀다)에서 유래|문제 해결, 결심, 의지 강조|격식적|타동사/자동사|-|-|resolve + O / resolve that ...|-|re- + solve(풀다)|resolution, resolute|decide(유사)|solve, determine|ignore|resolve a conflict, resolve to succeed|1) She resolved to improve her grades. 2) The company resolved the dispute amicably. 3) He showed great resolve in completing the task.|resolution과 연결, 문제 해결/결심과 연상|일상/사회/심리|중|5|X|Q1: 'resolve' 의미? (A) 무시하다 (B) 해결/결심 → B; Q2: 명사형? (A) resolution → A; Q3: collocation 예? → resolve a conflict
