단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),OX 체크용 문항(기본값 X),미니 퀴즈(3문항 선택형)
reciprocal,adjective,"상호 간의, 상호적인",두 집단·사람이 서로 주고받는 관계를 표현함.,라틴어 reciprocus(왕복하는)에서 유래.,수학에서 역수 의미도 있음.,격식/학술,형용사,-,-,reciprocal + N,-,re- (뒤로) + cip(잡다) + -al,"reciprocate, reciprocity",mutual과 의미 비슷,"mutual, shared",one-sided,"reciprocal respect, reciprocal relationship",1) Their cooperation was reciprocal. 2) Respect should be reciprocal.,수학적 'reciprocal number'도 함께 학습.,수학/심리/인간관계,중,5,X,Q1: reciprocal 의미? → 상호적; Q2: 유사어? → mutual; Q3: 반의어? → one-sided
implement,verb,"실행하다, 실시하다",계획·정책·아이디어를 실제로 적용하여 실행함.,라틴어 impleo(채우다)·implementum(도구)에서 유래.,정책·기술·경영에서 자주 등장.,격식적,타동사,타동사,-,implement + O,-,im- (위로) + ple(채우다),implementation,apply와 혼동,"carry out, execute",abandon,"implement a policy, implement a plan",1) The company implemented new rules. 2) The program was successfully implemented.,implementation과 세트로 암기.,경영/정책/기술,고,5,X,Q1: implement 뜻? → 실행하다; Q2: 명사형? → implementation; Q3: collocation? → implement a policy
carry out,phrasal verb,"수행하다, 실행하다",계획·명령·업무 등을 실행함.,carry(운반하다)에서 파생된 구동사.,비격식~공식 모두 사용.,구동사,타동사,-,carry out + N,-,carry + out,carried out,implement와 의미 유사,"perform, implement",abandon,"carry out an experiment, carry out a task",1) They carried out the research. 2) The plan was carried out smoothly.,implement와 비교해 기억.,업무/학술/일상,고,4,X,Q1: carry out 의미? → 수행하다; Q2: 유사 표현? → implement; Q3: collocation? → carry out an experiment,
take after,phrasal verb,닮다,가족 구성원과 외모·성격이 비슷함을 나타냄.,고대 영어 tacan(잡다)에서 파생.,주로 가족 유사성에만 사용.,일상적,구동사,타동사,-,take after + 사람,-,take + after,-,"look like(외모만), resemble",resemble,differ from,take after one’s father,1) She takes after her mother. 2) He really takes after his grandfather.,유사 표현 look like과 구별: take after=성격/습관 포함.,일상/가족,고,3,X,Q1: take after 의미? → 닮다; Q2: 주 사용 대상? → 가족; Q3: 유사 표현? → resemble
fundamental,adjective,"근본적인, 기본적인",기반이 되거나 핵심적 역할을 하는 상태.,라틴어 fundamentum(기초)에서 유래.,학문·철학·기술 등 광범위하게 쓰임.,격식/학술,형용사,-,-,fundamental to,-,fund(기초) + -al,fundamentally,basic과 유사하지만 더 강함,"essential, basic",minor,"fundamental principle, fundamental issue",1) Freedom is a fundamental right. 2) Understanding is fundamental to learning.,fundamental ↔ superficial 대비시켜 암기.,학문/철학/교육,고,5,X,Q1: fundamental 의미? → 근본적; Q2: 전치사? fundamental ___ → to; Q3: 반의어? → superficial
drawback,noun,"결점, 단점",어떤 사물·상황의 부정적 측면을 의미.,draw(뒤로 당기다) + back에서 유래.,비격식~격식 모두 사용.,명사,가산,drawback of/to,-,-,draw + back,-,"flaw(결함), disadvantage(단점)","disadvantage, downside",advantage,"major drawback, drawback to the plan",1) The only drawback is the cost. 2) There are several drawbacks to the system.,downside와 함께 연상.,일상/비즈니스,고,4,X,Q1: drawback 의미? → 단점; Q2: 전치사? drawback ___ → of/to; Q3: 반의어? → advantage,
constant,adjective,"지속적인, 일정한",변하지 않고 계속 유지되는 상태.,라틴어 constare(함께 서다)에서 유래.,수학·과학·일상에서 모두 사용.,격식/일상,형용사,-,-,constant + N,-,con- + stare(서다),constantly,consistent(유사),"continuous, steady",variable,"constant temperature, constant noise",1) Prices remained constant. 2) She was in constant pain.,constant ↔ variable 함께 암기.,과학/일상,고,4,X,Q1: constant 뜻? → 지속적; Q2: 반의어? → variable; Q3: 명사형? → constant(상수)
steadily,adverb,"지속적으로, 꾸준히",변함 없이 지속되는 행동·상태.,steady + -ly에서 파생.,긍정적 의미로 자주 사용.,일상/격식,부사,-,-,steadily + V,-,steady(확고한) + -ly,"steady, steadiness",constantly(빈도 강조),"constantly, consistently",sporadically,"grow steadily, improve steadily",1) Sales increased steadily. 2) She steadily improved her skills.,steady=안정된 → steadily=꾸준히.,경제/학습/일상,고,4,X,Q1: steadily 의미? → 꾸준히; Q2: 형용사형? → steady; Q3: 반의어? → sporadically
primitive,adjective,"원시의, 초기의",발전되지 않은 초창기 상태를 표현.,라틴어 primitivus(첫 번째의)에서 유래.,기술·사회·예술 등에서 등장.,격식적/학술,형용사,-,-,primitive + N,-,prim(첫 번째) + -itive,primitively,ancient(유사),"early, ancient",modern,"primitive tools, primitive society",1) Early humans used primitive tools. 2) The system is primitive by today’s standards.,'원시적=부족'의 부정적 뉘앙스 주의.,역사/인류학/기술,중,5,X,Q1: primitive 뜻? → 원시적; Q2: 반의어? → modern; Q3: collocation? → primitive tools
dominate,verb,"지배하다, 우세하다",힘·영향력·능력으로 우위를 점함.,라틴어 dominari(지배하다)에서 유래.,사회·스포츠·정치 등에서 자주 사용.,격식/일상,타동사/자동사,둘 다 가능,-,dominate + O,-,domin(주인) + -ate,"dominance, dominant","rule(정치), control(통제)","control, rule",submit,"dominate the market, dominate a game",1) The team dominated the match. 2) One company dominates the industry.,dominant/ dominance와 세트 암기.,사회/경제/스포츠,고,5,X,Q1: dominate 뜻? → 지배하다; Q2: 명사형? → dominance; Q3: collocation? → dominate the market
