단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
communication,noun,의사소통; 전달,정보·생각을 주고받는 과정.,Latin communicare,기술적 통신 포함,일상/격식,명사,"불가산, 가산",communication with,with,해당 없음,communicate+ion,communicate,communion과 혼동,interaction,silence,effective communication,Communication is essential.,communicate와 세트.,"언어, 일반",상,2,X,"O, X: communication=고립 → X, Q1 동사형? communicate"
transport,"verb, noun",운송하다; 운송,사람·물건을 한 장소에서 다른 곳으로 옮김.,Latin transportare(옮기다),감정적 황홀감 뜻도,격식/일상,명·동,타동사,transport + N,해당 없음,해당 없음,trans+port,transportation,transparent과 혼동,carry,retain,"transport goods, public transport",They were transported by truck.,transport↔transportation 구별.,"물류, 일반",상,2,X,"O, X: transport=숨기다 → X, Q1 명사형? transport, transportation"
leakage,noun,누출; 유출,액체·가스·정보가 새어 나감.,leak에서 파생,정보 유출 의미 중요,격식,명사,가산,leakage of,of,해당 없음,leak+age,leaking,legacy와 혼동,spill,containment,"oil leakage, leakage of data",There was a leakage in the tank.,정보 유출에 자주 사용.,"환경, IT",중,3,X,"O, X: leakage=밀폐 → X, Q1 동사형? leak"
affair,noun,일; 사건; 불륜,관계된 일이나 사회적 사건을 의미.,Old French afaire,연애 사건 의미도,일상/격식,명사,가산,affair with,with,해당 없음,a+faire(하다),affairs,fair와 혼동,matter,irrelevance,"public affairs, have an affair",The affair shocked the town.,affair=불륜 의미 주의.,사회,상,2,X,"O, X: affair=가벼운 잡담 → X, Q1 동의어? matter"
briefly,adverb,간단히; 잠깐,시간이나 설명을 짧게 함.,Latin brevis(짧은),일시적 순간 강조,일상/격식,부사,해당 없음,해당 없음,해당 없음,해당 없음,brief+ly,brief,brightly와 혼동,shortly,lengthily,He explained briefly.,We met briefly.,brief=짧은 연상.,일반,상,2,X,"O, X: briefly=아주 길게 → X, Q1 형용사형? brief"
in brief,expression,요컨대; 간단히 말해,주요 정보만 압축하여 말함.,brief에서 유래,격식 수험영어 자주 등장,일상/격식,구,해당 없음,in brief,해당 없음,해당 없음,in+brief,briefly,in short와 혼동,in short,in detail,"In brief, the plan failed.","In brief, we agreed.",in brief=in short.,"일반, 학문",상,1,X,"O, X: in brief=자세하게 → X, Q1 동의 표현? in short"
verbal,adjective,말의; 언어적,입말 또는 문자와 대비되는 구어적 표현.,Latin verbum(말),verbal abuse,격식,형용사,해당 없음,verbal to,해당 없음,해당 없음,verb+al,verbally,oral과 혼동,spoken,nonverbal,"verbal agreement, verbal skills",He gave a verbal promise.,verbal↔oral 미묘한 차이.,언어,상,2,X,"O, X: verbal=비언어적 → X, Q1 반의어? nonverbal"
spoken,adjective,말로 된; 구어의,쓰인 글이 아니라 말로 표현된 형태.,speak의 pp,spoken language,일상,형용사,해당 없음,spoken to,to,해당 없음,speak+en,spokenness,spoke와 혼동,oral,written,spoken English,The rule applies to spoken forms.,spoken↔written 구분.,언어,상,1,X,"O, X: spoken=문어 → X, Q1 반의어? written"
nonverbal,adjective,비언어적,말이 아닌 몸짓·표정 등으로 전달.,non(부정)+verbal,심리학 커뮤니케이션,격식/학문,형용사,해당 없음,nonverbal cues,해당 없음,해당 없음,non+verbal,nonverbally,verbal과 혼동,gestural,verbal,nonverbal communication,Nonverbal cues matter.,"verbal, nonverbal 대비.","심리, 언어",중,2,X,"O, X: nonverbal=말로 하는 → X, Q1 동의어? gestural"
medium,"noun, adjective",매체; 중간의,정보 전달 수단 또는 중간 수준.,Latin medium(중간),영매 의미도,격식/일상,"명, 형",가산,medium for,for,해당 없음,medi+um,media,median과 혼동,channel,extreme,a communication medium,Cook at medium heat.,"medium=singular, media=plural.","언어, 과학",상,3,X,"O, X: media=단수 → X, Q1 복수형? media"
