단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),OX 체크용 문항(기본값 X),미니 퀴즈(3문항 선택형)
starve,verb,굶주리다,음식 부족으로 배고픔·기아 상태가 되다.,Old English steorfan(죽다),비유: 정보 부족,일상,자동/타동,둘 다,starve for,for,-,starv+e,starvation,serve와 혼동,die of hunger,feast,starve to death,Many people are starving for attention.,for 사용 주의.,일상/사회,상,2,O/X: starve=배부르게 하다 → X,Q1 명사형? starvation
starvation,noun,굶주림; 기아,지속적 음식 부족 상태.,starve에서 파생,경제·사회문제,격식,명사,불가산,starvation of,-,-,starve+ation,starving,consternation과 혼동,hunger,abundance,die of starvation,Starvation is a global issue.,starve/starvation 세트.,사회,상,3,O/X: starvation=풍족 → X,Q1 동사형? starve
instruct,verb,가르치다; 지시하다,지식 전달 또는 공식적 지시.,Latin instruere(세우다),법적 지시 의미,격식,타동사,타동사,instruct + O + to-v,to,O + to-v,in+struct,instruction,construct와 혼동,teach,ignore,The teacher instructed them to sit.,He was instructed to leave.,O+to-v 구조 중요.,교육/법,상,3,O/X: instruct는 자동사 → X,Q1 명사형? instruction
instructive,adjective,유익한; 교훈적인,새로운 지식·교훈을 주는 특징.,instruct에서 파생,비유적 학습 효과,격식,형용사,-,instructive to,-,-,instruct+ive,instruction,destructive와 혼동,informative,uninformative,an instructive example,The lecture was highly instructive.,instruct와 관계 기억.,교육/학습,중,3,O/X: instructive=파괴적인 → X,Q1 반의어? uninformative
appreciation,noun,감사; 감상; 가치 상승,가치 인식 또는 감사의 마음.,ad+pretium(가격),환율·가치 상승 의미,격식/일상,명사,불가산/가산,appreciation for/of,for/of,-,appreciat+ion,appreciate,depreciation과 혼동,gratitude,criticism,show appreciation / price appreciation,She has deep appreciation for art.,art appreciation 의미도.,경제/예술,상,3,O/X: appreciation=감가상각 → X,Q1 반대 개념? depreciation
score,noun/verb,점수; 득점하다,평가 수치 또는 경기 득점.,Old Norse skor(자국),악보 의미도,일상,명사/동사,둘 다,score on,on,-,score,scoring,store와 혼동,grade,miss,high score / score a goal,He scored 90 points.,악보 의미도 암기.,일반/음악,상,2,O/X: score=노트북 → X,Q1 음악에서 score는? 악보
pupil,noun,학생; 눈동자(동공),배우는 사람 또는 눈의 중앙 부분.,Latin pupillus(아이),두 의미 구분 필요,일상,명사,가산,pupil of,-,-,pupil,pupillary,people과 혼동,student,teacher,a diligent pupil / dilated pupils,The pupils expanded in the dark.,학생 vs 동공 반드시 구분.,교육/생물,상,3,O/X: pupil=사람 전체 → X,Q1 pupil의 두 의미? 학생/동공
discipline,noun/verb,훈련; 학문 분야,규율을 지키게 하는 훈련 또는 특정 학문 영역.,Latin disciplina,학문 분야 domain 의미,격식,명사/동사,타동사,discipline + N,-,-,discipline,disciplinary,disciple과 혼동,train,neglect,academic discipline / discipline children,He was disciplined for misconduct.,discipline=학문도 포함.,교육/사회,상,4,O/X: discipline=학생 → X,Q1 형용사형? disciplinary
guidance,noun,지도; 안내,행동·결정을 돕는 조언.,guide에서 파생,상담 분야 필수,격식,명사,불가산,guidance on,on,-,guide+ance,guideline,guard와 혼동,advice,misguidance,give guidance / career guidance,Students need proper guidance.,guideline과 구별.,교육/상담,상,3,O/X: guidance=가산 명사 → X,Q1 관련어? guideline
collective,adjective/noun,집단의; 공동체,개인이 아닌 집단 전체가 관련됨.,collect에서 파생,명사: 집단 자체,격식,형/명,-,collective of,-,-,collect+ive,collectively,collected와 혼동,shared,individual,collective effort / a collective,They acted collectively.,collect vs collective 차이.,사회/정치,중,3,O/X: collective=개인적인 → X,Q1 부사형? collectively
