단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션,예문,학습 팁,교과/분야 태그,빈도 정도,단어 난이도,OX 체크용 문항,미니 퀴즈
applause,noun,"박수, 갈채",칭찬을 박수로 표현함.,라틴어 applaudere,지지·인정 의미로 확장.,격식/일상,명사,불가산,-,-,-,applaud,applaud,appliance와 혼동주의,cheering,booing,burst into applause,She received applause.,불가산 명사 주의.,공연,고,3,O/X: applause는 가산명사이다 → X,Q1 동사형? applaud / Q2 반의어? boo / Q3 collocation?
glimpse,noun/verb,흘끗 봄,매우 짧게 보는 것.,고대 영어 glims,단편적 이해 의미 확장.,일상/문학,자동/타동,가산,glimpse of,-,-,어근 없음,glimmer,glance와 구분,peek,stare,catch a glimpse of,I caught a glimpse.,glance보다 짧음.,문학,중,4,O/X: glimpse는 순간적으로 보는 것 → O,Q1 전치사? of / Q2 유사어? glance
crawl,verb,기다,몸을 바닥에 대고 이동.,노르드어 krafla,교통이 매우 느릴 때도 사용.,일상,자동사,-,crawl with,-,-,어근 없음,crawler,creep과 구분,creep,run,traffic crawls,The baby crawled.,crawl with=~로 들끓다.,일상,중,3,O/X: crawl with = 가득 차다 → O,Q1 baby? crawl / Q2 교통이 느릴 때?
creep,verb,살금살금 움직이다,눈치 못 챌 정도로 조용히 이동.,게르만어 kreupan,소름·불쾌감 의미 확장.,일상/심리,자동사,-,creep into,-,-,creep + -y,creepy,crawl과 혼동주의,sneak,dash,creep into the room,He crept inside.,creepy와 세트.,심리,중,4,O/X: creepy는 creep에서 파생 → O,Q1 creep into? / Q2 감정 creeping?
hesitate,verb,주저하다,결정 못하고 멈칫.,라틴어 haesitare,to부정사와 자주 쓰임.,격식/일상,자동사,-,hesitate to V,-,-,haesit + -ate,hesitation,pause와 구분,waver,decide,hesitate to ask,She hesitated.,hesitate to V 암기.,심리,고,4,O/X: hesitate 뒤엔 to부정사 → O,Q1 명사형? hesitation / Q2 유사어?
hesitation,noun,주저함,결정 회피의 상태.,hesitate에서 파생,신중함 의미도 존재.,격식,명사,불가산,without hesitation,-,-,hesitate + ion,hesitant,pause와 구분,uncertainty,confidence,after a slight hesitation,No hesitation.,hesitate/hesitant 세트.,심리,중,4,O/X: hesitation은 불가산명사 → O,Q1 반의어? confidence
make sense of,expression,이해하다,복잡한 것을 이해함.,sense 의미 확장,분석·정리 문맥에서 사용.,일상,구문,-,make sense of,-,-,make + sense,sense,make sense와 구분,understand,misunderstand,make sense of data,I can’t make sense of this.,‘of’ 필수.,분석,고,3,O/X: make sense = make sense of → X,Q1 구조? of / Q2 유사어?
eager,adjective,간절한,강한 열망 표현.,라틴어 acer,긍정적 동기 강조.,일상,형용사,-,eager to V,-,-,eager + ly,eagerness,reluctant 반의어,enthusiastic,reluctant,eager to learn,She is eager.,reluctant와 대비.,심리,고,3,O/X: eager to V → O,Q1 반의어? reluctant
eagerly,adverb,열심히,열망하며 행동.,eager + ly,긍정적 자세 강조.,일상,부사,-,-,-,-,eager + ly,eagerness,readily와 구분,enthusiastically,reluctantly,wait eagerly,She accepted eagerly.,eager/eagerly 구분.,심리,중,3,O/X: eagerly는 부사형 → O,Q1 의미?
arrogant,adjective,거만한,오만하게 굴다.,라틴어 arrogare,부정적 성격 묘사.,일상/격식,형용사,-,arrogant toward,-,-,ar- + rog + ant,arrogance,proud와 혼동주의,conceited,humble,arrogant attitude,He was arrogant.,arrogant ↔ humble.,성격,고,4,O/X: arrogant는 긍정적 의미 → X,Q1 명사형? arrogance
