단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
cultivation,noun,경작; 양성,땅을 일구거나 능력·관계를 발전시키는 행위.,Latin colere,문화·기술 계발,격식,명사,해당 없음,불가산,cultivation of,of,해당 없음,cultivate+ion,cultivated,culture와 혼동,farming,neglect,cultivation of crops,Her cultivation of skills paid off.,cultivate와 세트.,"농업, 교육",상,2,"O, X: cultivation=파괴 → X, Q1 동사형? cultivate"
cultivated,adjective,경작된; 교양 있는,잘 가꿔진 상태 또는 세련된 성격.,cultivate에서 파생,문학적 뉘앙스,격식,형용사,해당 없음,해당 없음,cultivated land,해당 없음,해당 없음,cultiv+ated,cultivation,culture과 혼동,refined,rough,"cultivated manners, cultivated fields",He is a cultivated man.,교양 의미로도 자주 사용.,"농업, 문학",중,2,"O, X: cultivated=거친 → X, Q1 명사형? cultivation"
reap,verb,거두다; 수확하다,노력·결과·작물을 거둠.,Old English rīpan,비유적 성공 수확,격식/일상,타동사,타동사,타동사,reap + N,해당 없음,해당 없음,reap,reaping,rape와 혼동,harvest,sow,"reap the benefits, reap crops",They reaped a big reward.,reap what you sow 속담 함께.,"농업, 비유",상,2,"O, X: reap=씨 뿌리다 → X, Q1 반의어? sow"
resistant,adjective,저항하는; 내성이 있는,물리적·정신적·생물학적 저항 능력.,Latin resistere,heat-resistant 등,격식/일상,형용사,해당 없음,해당 없음,resistant to,to,해당 없음,re+sist+ant,resistance,residing과 혼동,immune,vulnerable,"resistant to heat, resistant to change",The bacteria are resistant.,to 필수.,"과학, 의학",상,2,"O, X: resistant=취약한 → X, Q1 명사형? resistance"
resist,verb,저항하다; 참다,외부 힘·유혹·변화를 거부함.,Latin resistere,temptation resist,일상/격식,"타동, 자동","타동, 자동",둘 다,resist + N,해당 없음,해당 없음,re+sist,resistance,exist와 혼동,oppose,accept,"resist temptation, resist pressure",He resisted strongly.,감정적 저항도 포함.,"심리, 일반",상,1,"O, X: resist=따르다 → X, Q1 명사형? resistance"
durable,adjective,내구성이 있는,오랫동안 견디는 성질.,Latin durare,가구·상품,일상/격식,형용사,해당 없음,해당 없음,durable goods,해당 없음,해당 없음,dur+able,durability,dual과 혼동,long-lasting,fragile,"durable materials, durable shoes",The product is very durable.,durable goods(내구재).,"경제, 일반",상,2,"O, X: durable=깨지기 쉬운 → X, Q1 명사형? durability"
delicate,adjective,섬세한; 약한,가볍고 다치기 쉬운 또는 정교한.,Latin delicatus,감정 delicate,일상/격식,형용사,해당 없음,해당 없음,delicate with,with,해당 없음,delic+ate,delicacy,delight와 혼동,fragile,strong,"a delicate flower, delicate situation",The machine is delicate.,delicate situation 표현 중요.,"일상, 기술",상,2,"O, X: delicate=튼튼한 → X, Q1 명사형? delicacy"
transplant,"verb, noun",이식하다; 이식,조직·장기·식물을 다른 곳으로 옮김.,Latin transplantare,의학·원예,격식,"동, 명","동, 명",타동사,transplant into,into,해당 없음,trans+plant,transplantation,transport와 혼동,relocate,remove,"transplant a heart, plant transplant",The surgeon transplanted the organ.,transplantation 함께 암기.,"의학, 식물",상,3,"O, X: transplant=제거하다 → X, Q1 명사형? transplantation"
enriched,adjective,강화된; 영양 강화된,영양·가치·질이 높아짐.,enrich에서 파생,영양 강화 식품,격식,형용사,해당 없음,해당 없음,enriched with,with,해당 없음,en+rich+ed,enrichment,rich와 혼동,fortified,weakened,"enriched food, enriched soil",The program is enriched with details.,rich와의 차이 기억.,"영양, 교육",중,2,"O, X: enriched=가난하게 된 → X, Q1 명사형? enrichment"
enrichment,noun,강화; 풍부화,질·양·내용을 풍부하게 함.,enrich에서 파생,교육·영양,격식,명사,해당 없음,불가산,enrichment of,of,해당 없음,enrich+ment,enriched,entrance와 혼동,enhancement,impoverishment,"enrichment programs, nutrient enrichment",The enrichment of the soil helped crops grow.,교육 enrichment 프로그램 많이 사용.,"교육, 영양",중,3,"O, X: enrichment=약화 → X, Q1 동사형? enrich"
